name,genderRank,divRank,overallRank,bib,division,age,state,country,profession,points,swim,swimDistance,t1,bike,bikeDistance,t2,run,runDistance,overall
Ian Logan,135,30,141,1024,35-39,37,---,GBR,---,4352,01:01:45,3.9 km,00:04:08,05:04:04,180.2 km,00:03:48,03:27:38,42.2 km,09:41:23
Thomas Duhalde,136,31,142,963,35-39,35,FR,FRA,---,4351,01:05:23,3.9 km,00:03:03,04:50:47,180.2 km,00:03:09,03:39:06,42.2 km,09:41:28
Ronald Sermon,137,32,143,1084,35-39,37,BE,BEL,---,4350,01:03:30,3.9 km,00:03:44,04:59:34,180.2 km,00:03:06,03:31:37,42.2 km,09:41:31
Stéphane Gary,138,25,144,1211,40-44,40,FR,FRA,---,4481,01:09:55,3.9 km,00:04:15,04:45:55,180.2 km,00:03:42,03:37:56,42.2 km,09:41:43
David Fernandez Martinez,139,26,145,1197,40-44,42,ES,ESP,---,4480,01:13:36,3.9 km,00:06:24,04:54:45,180.2 km,00:02:34,03:24:30,42.2 km,09:41:49
David Kennedy,140,33,146,1003,35-39,37,Glos,GBR,---,4339,01:16:43,3.9 km,00:04:39,04:54:41,180.2 km,00:04:05,03:22:20,42.2 km,09:42:28
Olivier Cornelis,141,34,147,945,35-39,36,BE,BEL,---,4335,01:13:48,3.9 km,00:05:03,04:54:03,180.2 km,00:04:34,03:25:18,42.2 km,09:42:46
Gael Pons,142,18,148,212,25-29,29,FR,FRA,---,4392,01:09:37,3.9 km,00:03:38,05:12:32,180.2 km,00:02:32,03:15:37,42.2 km,09:43:56
Sylvain Leclancher,143,27,149,1256,40-44,43,---,FRA,---,4449,01:18:16,3.9 km,00:03:40,05:03:09,180.2 km,00:04:19,03:14:59,42.2 km,09:44:23
Axel Beci,144,28,150,733,30-34,33,ES,ESP,---,4404,01:13:04,3.9 km,00:06:15,05:02:27,180.2 km,00:03:35,03:19:03,42.2 km,09:44:24
Francois Lesourd,145,4,151,1698,50-54,50,FR,FRA,---,4538,01:10:22,3.9 km,00:06:09,04:51:38,180.2 km,00:03:13,03:33:07,42.2 km,09:44:29
Thomas Egiziano,146,28,152,279,40-44,42,FR,FRA,---,4447,01:02:37,3.9 km,00:06:04,05:12:59,180.2 km,00:02:54,03:19:59,42.2 km,09:44:33
Rafael Espinar,147,18,153,36,PRO,41,ES,ESP,---,3935,01:17:04,3.9 km,00:04:22,05:14:55,180.2 km,00:03:53,03:05:42,42.2 km,09:45:56
